State,Year,numberFires,AreaEstados
Mato Grosso,2012,26017,903207.019
Mato Grosso,2013,17768,903207.019
Mato Grosso,2014,28024,903207.019
Mato Grosso,2015,33007,903207.019
Mato Grosso,2016,29572,903207.019
Mato Grosso,2017*,43607,903207.019
Minas Gerais,2011,11683,586521.123
Minas Gerais,2012,10061,586521.123
Minas Gerais,2013,5308,586521.123
Minas Gerais,2014,12381,586521.123
Minas Gerais,2015,10625,586521.123
Minas Gerais,2016,6707,586521.123
Minas Gerais,2017*,11473,586521.123
Pará,2011,17687,1245870.798
Pará,2012,26915,1245870.798
Pará,2013,20542,1245870.798
Pará,2014,35948,1245870.798
Pará,2015,45202,1245870.798
Pará,2016,29410,1245870.798
Pará,2017*,59771,1245870.798
Paraíba,2011,837,56467.242
Paraíba,2012,525,56467.242
Paraíba,2013,322,56467.242
Paraíba,2014,442,56467.242
Paraíba,2015,586,56467.242
Paraíba,2016,676,56467.242
Paraíba,2017*,294,56467.242
Paraná,2011,2443,199298.979
Paraná,2012,1760,199298.979
Paraná,2013,1903,199298.979
Paraná,2014,2300,199298.979
Paraná,2015,2187,199298.979
Paraná,2016,4082,199298.979
Paraná,2017*,4463,199298.979
Pernambuco,2011,1589,98067.881
Pernambuco,2012,1089,98067.881
Pernambuco,2013,729,98067.881
Pernambuco,2014,660,98067.881
Pernambuco,2015,1082, 98067.881
Pernambuco,2016,966,98067.881
Pernambuco,2017*,522,98067.881
Piauí,2011,10515,251756.515
Piauí,2012,14604,251756.515
Piauí,2013,6555,251756.515
Piauí,2014,9584,251756.515
Piauí,2015,14730,251756.515
Piauí,2016,8385,251756.515
Piauí,2017*,9478,251756.515
Rio de Janeiro,2011,1133,43750.427
Rio de Janeiro,2012,575,43750.427
Rio de Janeiro,2013,405,43750.427
Rio de Janeiro,2014,1428,43750.427
Rio de Janeiro,2015,664,43750.427
Rio de Janeiro,2016,774,43750.427
Rio de Janeiro,2017*,1397,43750.427
Rio Grande do Norte,2011,401,52809.602
Rio Grande do Norte,2012,395,52809.602
Rio Grande do Norte,2013,268,52809.602
Rio Grande do Norte,2014,353,52809.602
Rio Grande do Norte,2015,439,52809.602
Rio Grande do Norte,2016,401,52809.602
Rio Grande do Norte,2017*,299,52809.602
Rio Grande do Sul,2011,1033,281707.156
Rio Grande do Sul,2012,1249,281707.156
Rio Grande do Sul,2013,944,281707.156
Rio Grande do Sul,2014,2143,281707.156
Rio Grande do Sul,2015,1450,281707.156
Rio Grande do Sul,2016,3364,281707.156
Rio Grande do Sul,2017*,2575,281707.156
Rondônia,2011,4541,237765.24
Rondônia,2012,6421,237765.24
Rondônia,2013,3662,237765.24
Rondônia,2014,7604,237765.24
Rondônia,2015,14410,237765.24
Rondônia,2016,11724,237765.24
Rondônia,2017*,14084,237765.24
Roraima,2011,1082,223644.527
Roraima,2012,1001,223644.527
Roraima,2013,994,223644.527
Roraima,2014,1868,223644.527
Roraima,2015,2062,223644.527
Roraima,2016,3499,223644.527
Roraima,2017*,1101,223644.527
Santa Catarina,2011,926,95730.684
Santa Catarina,2012,1000,95730.684
Santa Catarina,2013,1046,95730.684
Santa Catarina,2014,1138,95730.684
Santa Catarina,2015,923,95730.684
Santa Catarina,2016,2346,95730.684
Santa Catarina,2017*,2354,95730.684
São Paulo,2011,3573,248219.481
São Paulo,2012,2159,248219.481
São Paulo,2013,2055,248219.481
São Paulo,2014,4717,248219.481
São Paulo,2015,1984,248219.481
São Paulo,2016,3235,248219.481
São Paulo,2017*,5406,248219.481
Sergipe,2011,173,21925.424
Sergipe,2012,231,21925.424
Sergipe,2013,185,21925.424
Sergipe,2014,104,21925.424
Sergipe,2015,299,21925.424
Sergipe,2016,152,21925.424
Sergipe,2017*,75,21925.424
Tocantins,2011,10387,277466.763
Tocantins,2012,19172,277466.763
Tocantins,2013,9756,277466.763
Tocantins,2014,14912,277466.763
Tocantins,2015,17403,277466.763
Tocantins,2016,14854,277466.763
Tocantins,2017*,22317,277466.763
